2024-05-12 08:28 | BOROUGH=STATEN_ISLAND | ZONE=CMD122 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=1 age=50 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=37 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Inattention
2024-05-15 17:38 | BOROUGH=BRONX | ZONE=CMD044 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=67 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=74 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=35 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Inattention
2024-05-16 08:30 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=63 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=46 sex=F race=HISPANIC | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=59 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Failure to Yield
2024-05-16 12:12 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=29 sex=M race=BLACK | COLLISION:injured=1 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=52 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=BUS | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=58 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-05-16 17:05 | BOROUGH=BRONX | ZONE=CMD046 | VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=62 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=42 sex=F race=WHITE | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=40 sex=M race=WHITE | COLLISION:injured=1 killed=0 factor=Right of Way Violation
2024-05-17 08:48 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=TAXI | STOP:search=0 arrest=1 summon=1 checkpoint=0 force=0 age=47 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=TAXI | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=22 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=BUS | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=26 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-05-17 12:12 | BOROUGH=MANHATTAN | ZONE=CMD010 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=39 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=BICYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=64 sex=F race=HISPANIC | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=59 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Lane Change
2024-05-17 17:32 | BOROUGH=MANHATTAN | ZONE=CMD014 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=18 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=MOTORCYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=70 sex=X race=WHITE | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=0 checkpoint=0 force=0 age=45 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Driver Inattention
2024-05-18 08:40 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=29 sex=X race=WHITE | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=BUS | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=27 sex=M race=BLACK | COLLISION:injured=2 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=26 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-05-18 12:35 | BOROUGH=MANHATTAN | ZONE=CMD014 | VEH=TRUCK | STOP:search=1 arrest=1 summon=0 checkpoint=1 force=0 age=51 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=30 sex=X race=WHITE | COLLISION:injured=1 killed=0 factor=Improper Turn || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=45 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-05-18 17:15 | BOROUGH=BROOKLYN | ZONE=CMD071 | VEH=BICYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=48 sex=X race=HISPANIC | COLLISION:injured=2 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=31 sex=M race=WHITE | COLLISION:injured=1 killed=0 factor=Failure to Yield || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=37 sex=M race=WHITE | COLLISION:injured=1 killed=0 factor=Backing Unsafely
2024-05-19 08:20 | BOROUGH=BROOKLYN | ZONE=CMD067 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=1 age=59 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Unsafe Speed || VEH=TAXI | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=26 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=46 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change
2024-05-19 12:45 | BOROUGH=QUEENS | ZONE=CMD105 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=38 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=VAN | STOP:search=1 arrest=1 summon=1 checkpoint=1 force=0 age=73 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=44 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded
2024-05-19 17:02 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=67 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=1 force=0 age=67 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=28 sex=F race=WHITE | COLLISION:injured=2 killed=0 factor=Right of Way Violation
2024-05-20 08:50 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=50 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=38 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=74 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Driver Inattention
2024-05-20 12:55 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=1 age=50 sex=M race=BLACK | COLLISION:injured=0 killed=0 factor=Right of Way Violation || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=39 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=71 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-05-20 17:28 | BOROUGH=STATEN_ISLAND | ZONE=CMD121 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=63 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=39 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=53 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-05-21 08:35 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=BUS | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=54 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=1 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=34 sex=X race=UNKNOWN | COLLISION:injured=3 killed=0 factor=Failure to Yield || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=32 sex=M race=BLACK | COLLISION:injured=2 killed=0 factor=Lane Change
2024-05-21 12:15 | BOROUGH=MANHATTAN | ZONE=CMD013 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=59 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Driver Distraction || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=42 sex=F race=HISPANIC | COLLISION:injured=1 killed=0 factor=Improper Turn || VEH=TAXI | STOP:search=1 arrest=1 summon=0 checkpoint=0 force=0 age=60 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-05-21 17:28 | BOROUGH=QUEENS | ZONE=CMD114 | VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=62 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=52 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=30 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Distraction
2024-05-22 08:25 | BOROUGH=BROOKLYN | ZONE=CMD083 | VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=22 sex=F race=WHITE | COLLISION:injured=3 killed=0 factor=Improper Turn || VEH=BICYCLE | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=25 sex=X race=BLACK | COLLISION:injured=1 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=54 sex=F race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Lane Change
2024-05-22 12:48 | BOROUGH=BRONX | ZONE=CMD046 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=74 sex=X race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=21 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=60 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=3 killed=0 factor=Driver Inattention
2024-05-22 17:02 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=34 sex=M race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=1 age=73 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=41 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Backing Unsafely
2024-05-23 08:12 | BOROUGH=QUEENS | ZONE=CMD102 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=48 sex=F race=BLACK | COLLISION:injured=1 killed=0 factor=Backing Unsafely || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=44 sex=X race=UNKNOWN | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=49 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Improper Turn
2024-05-23 12:22 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=25 sex=M race=UNKNOWN | COLLISION:injured=2 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=51 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=2 killed=0 factor=Lane Change || VEH=TRUCK | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=71 sex=M race=UNKNOWN | COLLISION:injured=3 killed=0 factor=Driver Inattention
2024-05-23 17:12 | BOROUGH=QUEENS | ZONE=CMD105 | VEH=VAN | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=25 sex=F race=BLACK | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=CAR/SUV | STOP:search=1 arrest=1 summon=1 checkpoint=0 force=0 age=46 sex=M race=HISPANIC | COLLISION:injured=0 killed=0 factor=Lane Change || VEH=BICYCLE | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=26 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Driver Inattention
2024-05-24 08:42 | BOROUGH=STATEN_ISLAND | ZONE=CMD123 | VEH=MOTORCYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=50 sex=F race=HISPANIC | COLLISION:injured=1 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=1 force=0 age=53 sex=F race=HISPANIC | COLLISION:injured=1 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=58 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Failure to Yield
2024-05-24 12:20 | BOROUGH=BRONX | ZONE=CMD040 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=51 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=39 sex=X race=WHITE | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=BUS | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=43 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=3 killed=1 factor=Improper Turn
2024-05-24 17:05 | BOROUGH=BROOKLYN | ZONE=CMD071 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=39 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=62 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Following Too Closely || VEH=BICYCLE | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=48 sex=M race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Traffic Control Disregarded
2024-05-25 08:18 | BOROUGH=MANHATTAN | ZONE=CMD018 | VEH=CAR/SUV | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=72 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Failure to Yield || VEH=TRUCK | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=49 sex=F race=BLACK | COLLISION:injured=2 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=22 sex=M race=WHITE | COLLISION:injured=0 killed=0 factor=Unsafe Speed
2024-05-25 12:18 | BOROUGH=BRONX | ZONE=CMD040 | VEH=TAXI | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=74 sex=M race=UNKNOWN | COLLISION:injured=2 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=33 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Traffic Control Disregarded || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=68 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Right of Way Violation
2024-05-25 17:08 | BOROUGH=BRONX | ZONE=CMD044 | VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=52 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=60 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Driver Distraction || VEH=BUS | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=67 sex=M race=BLACK | COLLISION:injured=2 killed=0 factor=Following Too Closely
2024-05-26 08:08 | BOROUGH=BRONX | ZONE=CMD044 | VEH=TRUCK | STOP:search=0 arrest=0 summon=0 checkpoint=1 force=0 age=22 sex=X race=BLACK | COLLISION:injured=0 killed=0 factor=Improper Turn || VEH=VAN | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=55 sex=X race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Following Too Closely || VEH=CAR/SUV | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=55 sex=M race=WHITE | COLLISION:injured=1 killed=0 factor=Right of Way Violation
2024-05-26 12:38 | BOROUGH=STATEN_ISLAND | ZONE=CMD120 | VEH=MOTORCYCLE | STOP:search=0 arrest=1 summon=0 checkpoint=0 force=0 age=20 sex=X race=HISPANIC | COLLISION:injured=0 killed=0 factor=Unsafe Speed || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=71 sex=F race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=1 killed=0 factor=Lane Change || VEH=TRUCK | STOP:search=0 arrest=0 summon=1 checkpoint=0 force=0 age=38 sex=F race=UNKNOWN | COLLISION:injured=1 killed=0 factor=Backing Unsafely
2024-05-26 17:02 | BOROUGH=BROOKLYN | ZONE=CMD075 | VEH=TRUCK | STOP:search=1 arrest=0 summon=0 checkpoint=0 force=0 age=66 sex=M race=ASIAN / PACIFIC ISLANDER | COLLISION:injured=0 killed=0 factor=Driver Inattention || VEH=CAR/SUV | STOP:search=1 arrest=0 summon=1 checkpoint=0 force=0 age=28 sex=F race=WHITE | COLLISION:injured=1 killed=0 factor=Backing Unsafely || VEH=VAN | STOP:search=0 arrest=0 summon=0 checkpoint=0 force=0 age=25 sex=M race=BLACK | COLLISION:injured=3 killed=1 factor=Following Too Closely
